Stemmed User Reviews
"['excruciatingli', 'aw']"
"['happen', '?']"
"['worst', 'one', 'yet', '.']"
"['fast', 'x']"
"['liter', 'thought', 'parodi', 'skit', 'snl', '!']"
"['need', 'stop']"
"['comic', 'bad']"
"['``', 'aveng', ""''"", 'meet', '``', 'fast', 'furiou', ""''"", 'everyth', 'goe', 'wrong']"
"['toretto', 'start', 'play', 'rocket', 'leagu', 'middl', 'itali', '.']"
"['jason', 'momoa', 'give', 'one', 'embarrass', 'perform', 'film', 'histori']"
"['void', 'car', 'action']"
"['ca', ""n't"", 'wait', 'franchis', '!']"
"['...', 'famili']"
"['could', ""n't"", 'even', 'put', 'effort', 'better', 'titl']"
"['total', 'disrespect', 'fan']"
"['absolut', 'piec', 'crap', 'even', 'end', '!', '!', '!']"
"['weak', 'fantasi', 'car']"
"['entertain', 'part', 'movi', 'chatgpt', '10/10', 'review']"
['heck']
"['bad', '!']"
"['end', 'road', 'begin', 'badli']"
"['left', 'furiou']"
"['miss', 'old', 'fast', 'furiou']"
"['even', 'f', '+', 'f', ',', ""'s"", 'mess']"
"['keep', 'get', 'worst', 'worst', '.']"
"['refresh', 'take', 'action', 'thriller']"
"['pulsat', 'romanc', 'thriller']"
"['definit', 'interest', 'suspens', 'movi', ',', 'lack', 'brillianc', 'hope', '...']"
"['great', 'look', ',', 'dull', 'dishwat', '.']"
"['plot-lov', 'need', 'look', 'elsewher']"
['averag']
"['``', 'unabl', 'endur', 'boredom', ',', 'work', '.', ""''""]"
"['bore', 'movi', ""'s"", 'style', 'substanc']"
"['incred', 'slow', ',', 'predict', 'noth', 'ordinari', '.']"
"[""'s"", '...', 'fine', '?']"
"['yeah', ',', 'nah', '.']"
"['empathi', 'weak']"
"['vacuou', 'unnecessari']"
"['portrait', 'psychopath', '.']"
"['bore', 'death']"
['dreari']
"['someth', ""'s"", 'miss']"
"['assassin', ""'ve"", 'seen', 'great', 'director', '.']"
['overr']
"['anoth', 'winner', 'fincher']"
"['fun', 'ride', 'escal']"
"['slick', ',', 'smart', ',', 'slim']"
['empti']
"['cowbel', ',', 'less', 'narrat']"
"['yawn', '.', 'blood', '.', 'yawn', '.', 'gore', '.', 'yawn', '.']"
"['complet', 'underwhelm', ',', 'slick', 'product', 'foil', 'weak', 'stori']"
"['uniqu', 'thriller', 'say', 'least']"
"[""'re"", 'mission', '...']"
"[""'s"", 'blue', '.']"
"['one', 'favourit', 'movi']"
"['plot', '...', 'plot', '...', ""n't"", 'care']"
"[""n't"", 'miss', 'comedi', 'like', '?']"
"['utterli', 'ridicul', '...', ',', ""'s"", 'whole', 'point', '.']"
"['someon', 'found', 'fountain', 'youth', 'dous', 'babi', ',', ""'caus"", 'sure', 'ai', ""n't"", 'get', 'old']"
"['quit', 'possibl', 'john', 'landi', ""'s"", 'best', 'film']"
"['take', 'long', 'watch', '?']"
['classic']
"['nitro', 'glycerin']"
"['true', 'classic', ',', 'comedi', 'way', '-', 'funni']"
"[""'s"", 'real']"
"['movi', 'like', 'ever', 'made', '!', 'perman', 'classic', '!']"
"['blue', 'brother', 'god', ""'s"", 'servic', 'cop', 'neo-nazi', '!', '!', '!']"
"['hell', '``', 'blue', 'brother', ""''"", ""'the"", 'top', '250', '?', ""'""]"
"['smile', 'almost', 'time']"
"['one', '-', 'blue', 'brother']"
"['great', 'music', 'peopl', ""n't"", 'like', 'music', '!']"
"['wild', '``', 'music', 'comedi', ""''"", 'offer', 'long-last', 'fun', 'excit', '.']"
"['``', ""'re"", 'mission', 'god', ""''""]"
"['critiqu', 'critic']"
"['wild', '&', 'crazi', 'ride']"
"['eccentr', 'cult', 'classic']"
"['blame', 'penguin', '.']"
"['run', 'blockbust', ',', 'check', '.']"
"['face', ',', 'noth', 'worri']"
"['fun', ',', 'entertain', ',', 'comedi', 'noisi', 'action', 'nostalg', 'team']"
"['need', 'sequel', ',', 'movi', 'surviv', 'time', 'test', ',', 'joy', 'watch', 'even', 'year']"
"['best', 'film', 'could', 'ask', '``', 'a-team', ""''"", 'adapt']"
"['love', 'movi', 'come', 'togeth']"
['a+team']
"['overblown', ',', 'super-exagger', 'trash', '...', 'love', 'everi', 'minut']"
"['solidli', 'entertain', 'action', 'movi', ',', ""n't"", 'think', 'hard', 'plausibl', '.']"
"['piti', 'fool', ""n't"", 'enjoy', 'film']"
['c-team']
['bang']
"['ridicul', 'action', 'get', 'tiresom']"
"['a-team', '1,000', 'word', ':', 'overkil', 'underr']"
"['definit', 'dumb', 'summer', 'fun']"
"['bad', ""n't"", 'success', 'enough', 'warrrant', 'sequel']"
"['a-team', ':', 'good', 'b-movi']"
"['miss', 'goofbal', 'charm']"
"['film', 'well', 'worth', 'watch']"
"['enjoy', 'reboot', 'classic', ""'80"", 'tv', 'seri']"
"['love', 'plan', 'come', 'togeth', '!', 'simpl', ',', 'short', 'review', '.']"
['a-team']
