Title,User Reviews
Now You See Me 2,"[""Can't find the wow factor"", 'Big giant mess!', 'What a mess', '4/10', 'A Caricature of a Movie', ""Disappears from your mind as soon as it's over"", 'In terms of plot, this is a complete mess', 'Unbelievable — And Not In A Good Way', 'Miss the ""magic"" of the first, but still entertaining', 'A very good sequel full of twists and fun', 'There Are Cheaper Ways to get some sleep', 'Disappointing', 'Plastic fantastic - boring and unbelievable', 'Love it!', ""Reviews are fake, big names don't help a bad movie"", '""We are going out with a show people will never forget.""', 'Throws Out All Logic and Realism', 'Autistic Reviewers Opinion Of This Movie.', 'Not as good as the first one but good enough', 'Dull, cheap and no where near the prequel', 'Spoiler-free review', 'Inarticulate', 'Now You See Me 2', 'Now You See Me 2 - Review: Cash Grab', 'NYSM2 is a literal and fatal misdirection with little in the way of fresh excitement.']"
The Brothers Grimsby,"['Hardcore comedy for adults.', 'Sickening, Depraved, Disgusting and ... Hilarious!', 'mix bag of outrageous humor', 'Puerile comedy slapstick - I loved it!', 'The man knows funny', 'Non-stop gags...', 'Either Raises Or Lowers The Bar On Filth', 'There are some scenes in this movie I can never un-see. That being said...I really really enjoyed this and recommend it.', ""Liam Gallagher's best role to date!"", 'Grimsby Is A Funny One!', 'Incredibly Raunchy & Silly Yet I Laughed at Times', 'Not laughed so much at the cinema since the parole officer', 'Love it or hate it', 'A spy satire with game-style story', 'Taking grossness to new depths', 'So grim its good', 'There\'s nothing grim about ""Grimsby""', 'The funniest move of the year killed by bad marketing and poor studio choices', ""First you'll rub your eyes, then you'll need to wash them"", 'What happens when a once-brave comedian conforms to mainstream standards', ""It's bonkers."", 'Clumsy, rude and funny', 'Yes very stupid and very funny.', 'Atrocious in Every Way', 'Excellent gut busting humor sensitive folks stick to PG or PC']"
Fast & Furious 6,"['Fast & Furious 6 is The best film in the franchise that I love to Death!', 'Builds Upon The Winning Blockbuster Formula Of Fast Five.', '""This is vehicular warfare.""', 'BEASTLY', ""Hail, hail the gang's all here - but now minus one"", 'Fast & Furious 6', 'Brainless and Overrated, with the Longest Take-off Strip of the World', 'Pretty ace film!', 'A big movie and a fun time!', ""Movin' on up!"", ""Indeed a guy's movie..."", 'Bold imagination and beautiful execution of some of the most exhilarating car chases ever done on film make this the unequivocal franchise best thus far', ""I don't get how this and the previous installment were so well received. They're utterly stupid."", 'Pure Entertainment', 'Fast Cars, Tanks and Planes Oh My', 'Incredible! Thoroughly enjoyable!', 'A whole new stratosphere of action, ""F&F6"" will start to separate the junkies from those who need substance', 'Physics defying and entertaining', 'Amazingly faster and more furious than ever', 'Thrill ride par excellence', ""Action Franchise Isn't Out of Gas Yet"", ""Idle 'Furious' needs a tuneup"", 'Number 6 is a Winner', 'In life Speed and Family are the two best things', 'It was ok.']"
Elektra,"[""OK, I'll confess, this movie is definitely junk food for the mind, like eating a twinkie - but it is fun to watch"", 'Small Movie with a Big Heart\x85\x85Highly Underrated', 'Flawed but fun', 'Underrated', 'I thought it was decent', 'a well made action movie with an air of mystique', 'A loner assassin faces off supernatural warriors with impressive fights and breathtaking action', 'The star, Jennifer Garner, makes it worthwhile', 'The Luscious Lady In Red', 'Nothing of any value here \x96 pretty much a template for how to make a bad action/superhero movie', 'An insanely fun and enticing movie', 'It was very INTENSE!', ""A superb but 'difficult' comic book film"", 'Jennifer Garner Is Spectacular As Elektra, And Bob Sapp Rules, Too!', 'Better than I expected', 'A Second Life, a Second Chance', 'Great Entertaining Film', 'What a Mess', ""A poor man's DareDevil!"", ""A Boy's Ponderous Take on Girl Power"", 'A weak vehicle', 'not the Electra I know...', 'A special-effects extravaganza. It lacks story and character development, but is visually stunning with a surreal atmosphere and terrific action sequences. Thumbs up!', 'Everyone looks pained', 'Some What an OK Film']"
Charlie's Angels,"['Eye Candy No-Brainer Fun To Watch', ""It's fun!"", 'Music video entertainment', 'High-spirited, infectious ridiculousness', 'Golden Turkey awards nomination', ""Silly, but quite enjoyable if you're in the mood."", 'Charlie would approve.', '""Angels we conclude our broadcast day""', 'Solid fun', 'Simply brilliantly silly and fun and makes me smile every time I watch it.', 'The Chad', 'Just Plain Fun !', 'Enjoyable movie that is also a little silly', 'Fun movie based on the 1970s show', 'The angels have fallen (big time)', 'Entertaining Fluff', ""It's hard not to like the girls"", 'Ravishing and lethal detectives rescue stolen software.', ""Annoying music video. Girl power? Don't make me laugh (or cry)."", 'An enjoyable piece of fluff', ""Charlie's Angels"", 'A slick, enjoyable fast paced and hilarious action movie', 'Shame on you McG', 'Good cheesy fun']"
Enola Holmes 2,"[""Continues the character's story in the same light-hearted manner as the previous film"", 'Fun fun fun', 'An intriguing adventure, still missing a little something.', 'Netflix did it again...', 'Just ordinary, nothing extra', 'Great sequel...!', 'An enjoyable sequel that is as much fun as the original', 'I thoroughly enjoyed this caper', 'Strikes a Chord...', 'Second verse, same as the first', 'Another enjoyable Enola tale!', '2 years later', 'About on par with the original', 'I love Enola', 'A new investigation for Elona Holmes.', 'Awkward socio-political cringe', 'They forgot the concept of the stories...', 'Boring and Mediocre', 'Great film', 'keep them coming', 'More Adventure And fun', 'Enola Holmes 2 surpasses the original!', 'Enola is back', 'A thrilling and triumphant sequel', 'Millie Does Her Usual Good Job of transfixing The Viewer And Keeping The Entertained!']"
The Girl in the Spider's Web,"[""Enjoyable while you're watching it, but much of it makes no sense"", 'turning into Bond', 'Still good, just not as good as...', 'A Bit of a Mess', 'How did I hate this movie? Let me count the ways.', 'Monumentally stupid.', 'The girl in the boring web', 'Watchable but shallow spin-off', 'Are you not Lisbeth Salander, the righter of wrongs? The Girl with the Dragon Tattoo?', 'Are you Lisbeth Salander the... Action hero?', ""A tangled spider's web"", 'THE GIRL IN THE MEH MOVIE', 'Claire Foy is not Lisbeth Salander', 'Not quite of Swedish quality', 'Just a standard action movie...', 'Really awful, derivative movie about a SJW superhero', 'Visually entertaining with its direction but lacking in plot and its darker tone from Dragon Tattoo movie.', 'The story is just so, so, oh so very predictable!', 'An insult to the Millennium series', 'Another American miss', 'Awful movie!', 'Disappointed', 'Get stuck', 'Enough already', 'Not bad']"
Inferno,"['The third, and worst, of the Langdon-Hanks-Brown-Howard films', 'Dazzled and confused', 'I pity anyone who paid cinema prices for this absurd turkey', 'When ""National Treasure"" is the better movie', 'This was like a bad TV version of The Da Vinci Code', 'Production interference ruined ending', '*', 'Empty calories, mainly due to poor direction', 'Disappointing and Predictable Story', 'Messy, weak and lacking the serious impact of a serious crisis.', 'A Wasted Opportunity', 'A career-low for all involved', 'Why would they change the ending? That was the best part of the book... WHY?', ""Don't watch if you read the book..."", 'Sadly disappointing, a hollow remnant of the franchise . . .', 'Good example of bad production', 'All Those Good People / Story / Money / & A $5 Story Adaptation', 'Turkey of the year', 'Mystery thriller set in Florence , Venice and Istanbul ; plenty of suspense , twists and turns', 'Good but forgettable (reading the book vs not).', 'Disappointed with the changed ending', 'Very long waste of time', ""Ron Howard's Inferno."", 'Total Disappointment']"
The Counselor,"['Expectations', 'Drowns under the weight of cryptic dialogue and abstract storytelling.', ""Perhaps Scott's most underrated film."", 'Who Should Be The One Counseling?', 'one of the greatest morality plays of all time...', ""I'm not a contrarian, but"", 'The Counselor is so in love with itself that it gives no one else a reason to love it, let alone care.', ""I can't believe a crime thriller can be so boring"", 'Be your own judge.', 'Wow', 'Stop it Cormac! Ridley and Cameron how could you?', 'characters with no compelling interest', 'Poorly-scripted drug trafficking drama', 'Convoluted does not equal Complex', 'Counseling the Counselor', 'Disappointing neo-noir from Ridley Scott and Cormac McCarthy', 'The Counselor: A Shakespearean tragedy of greed and desperation.', 'Disappointing is such a limited word...', 'A new level of sinister', 'The Counselor proves that talented people can produce a horrendous mess', 'Evil At Its Most Audacious!!!', 'Might of the Monologues', 'A dark, bleak masterpiece about predators - 10/10', 'A dead boring first hour and an impressive ending', 'Absolutely brilliant!']"
Austin Powers in Goldmember,"['whacked-out comedy with a lot of laughs', 'Tight like a tiger', 'The weakest of the series, but Myers still has his mojo', ""Austin's Anatomy"", 'About as good as the second', 'Everything you loved, and more', 'The gold is a little tarnished', 'Still A Good Time Waster', 'He Loves Only Gold', 'Austin Powers/Mike Meyers is back along with some hilarious new characters', 'Wildly hit-or-miss', 'Tarnished ""Goldmember"" Still Shines', 'I LIKE GOOOOOOOOLD....member.', 'Myers does an excellent job as different characters', 'Still Retains Most Of The Humour, But Somehow Contains Less Content', ""Third time's not Golden, baby"", 'Goldmember = Pretty Good!', 'OK- but the worst out of the three', 'Another great spoof movie', 'A buffoonery on ""Goldfinger""!', 'Crazy plot', 'my notes', 'GOLDMEMBER!!', 'Funny', 'Myers is a genius']"
Austin Powers: The Spy Who Shagged Me,"[""Yeah, Baby!!! This is one of the funniest friggin' movies of all time"", 'Mr. Mojo rising', 'Slightly better than the first', 'A WONDERFUL SEQUEL', 'Recycles old humor, but still fun...', 'Better than the first one!', 'More inevitable cheekiness from Myers', 'Austin Powers: The Spy Who Shagged Me', 'A Hilarious Time-Waster', 'Will Film Buffs Like This ? ...', 'More Scott and Dr. Evil!', 'The Man With The Golden Pun', 'One of the funniest sequels ever made', 'Superior sequel', 'mostly good, but one scene was unnecessary', ""Funny But Nasty 'R-Rated' Look At The Stupid '60s"", 'An inferior sequel, more successful, but lacking the dry wit of its predecessor.', 'Still funny but a lot of recycled gags from the first film', '""Do you smoke after sex?"" ""I don\'t know. I\'ve never looked""', ""It's shagadelic baby"", '""Austin Powers: The Spy Who Shagged Me"" is light-hearted entertainment which supplied me with a ton of laughs!', ""uggghhhh.... so how is this funny? It's depressing!"", 'The funniest jokes of the 1990s', 'Another funny entry in the series, actually my favorite.', 'HILARIOUS!']"
Point Break,"['Impressive action sequences let down by almost everything else.', 'No dead presidents', 'Excellent cinematography-fun remake!', 'Extreme Sports=Extreme Dud', 'GoPro and Red Bull decide to make a film', 'Watch the original one instead', ""Nonsensical plot accompanied by visual splendor of world's most extreme corners."", 'Point Broken', 'Worst remake EVER!', ""It's almost as though they made a terrible movie on purpose."", 'Pointless Break', 'Pointless Retreads', 'Such a terrible film', 'Disappointing', 'Craptacular', 'A dire and far to serious remake', '1/10 -- BEWARE OF GARBAGE!', ""It's a black eye to the fans of the original who might have given this disaster a chance"", ""Pointless and hollow, the budget's been expanded while the personality and energy is gone"", 'Probably the worst remake ever', 'This is an awful movie and is a disgrace to the original.', 'Terrible Crappy Remake of an Awesome Classic Film', 'Story-wise this is just a mediocre movie, but the stunts and scenery make the 1 hour and 45 minutes worth the watch for those of us who enjoy that sort of thing.', 'Horrible Movie', 'Empty']"
Batman: Mask of the Phantasm,"['Awesomeness!', 'INTELLIGENT AND MATURE BATMAN CARTOON', 'Batman: Mask of the Underrated Classic', 'The Greatest of all the animated Batman films!', ""Along with Tim Burton's Batman Returns the best Batman movie to date."", 'like a brilliant four-part episode from the series; lots of personal wounds revealed, and the Joker to boot!', 'If you liked the first two Batman movies this is a DEFINITE must see', 'The first great animated Batman movie.', 'You walk the edge of that abyss every night.', 'In Blackest Night', 'My favorite Batman movie', ""The Way Batman's Origin was meant to be told"", 'Measures up', 'An absolute classic, the best Batman movie so far', 'Aww yeah--one of the best.', 'Amazing Batman movie', ""The Best Romantic Film I've Ever Seen"", 'The Most Absolute Batman Animated Movie Of All Time', 'Still classic', '""There are certain advantages to having a sturdy cranium, Master Bruce.""', 'Best portrayal of the Dark Knight.', 'Very well made, mature and entertaining', ""Batman Mask of the Phantasm: Don't see the appeal"", 'The Best Batman Movie of All Time', 'Great as the animated series.']"
It's a Mad Mad Mad Mad World,"['A King With a Hundred Jesters', 'Greatest comedy of all time, period.', 'More than the sum of its parts', ""Yes, It's Loud But It's An Incredible Comedy Classic"", 'A Comedy Classic that Still Holds Up...', 'Just push the button marked BOOZE!', '""So come on. Let\'s have one big adventure!""', 'Classic epic comedy with too much editing', 'An Epic Comedy', 'Personifies everything I hate in movies yet oh how I laughed.', 'While very, very long, it still manages to be one of the funniest and most quotable comedies ever', 'Every comic from practically every part of the world gets to take their lumps here.', ""It's every man (and old bag) for himself."", 'The funniest movie of all time', 'Every Man And Merman For Himself', '""We\'re going to have to kill him!"" Arnold Stang.', ""A classic you'll never get tired of watching"", 'Mad x 4 World = BIG W = WONDERFUL. Simply priceless.', 'All those comedians causing all the damage', ""It's a Funny, Funny, Funny, Funny Movie"", 'funny even when you know it by heart', 'its a great great great film', 'This Movie IS A Treasure!!! : )', 'The greatest comedy ever made; period.', ""It's A Bad, Bad, Bad, Bad Movie""]"
S.W.A.T.,"['Underrated', 'Good action film', 'Average good action film', ""Good for what it is but some aspects are really let down by the fact it's aimed at twelve year olds."", 'Average action movie - nothing more nothing less', 'For action fans', ""'Die Hard' continues to influence to this day..."", 'A walking cliché?', 'One of the better tv-series-to-big-screen-adaptations', 'A better title might be So-WAT?', 'Run of the mil action film', 'Good action movie, but not enough Michelle Rodriguez.', 'Another film with a good concept but never delivers', 'average... unrealistic...', 'S.W.A.T. a load of rubbish', 'Swaggering Action Film Is Violent, but Fun!', ""Just about what you'd expect"", 'Perfect popcorn movie', 'Good popcorn fun in this big screen rendition of the mid-seventies TV series', 'Sealed with a Frisk', 'Run of the mill, and not exciting at that.', ""8 1/2 out of 10 - That's good."", 'Watchable big budget Hollywood action, passes the time I suppose.', 'Utterly Routine', 'Simple and fun']"
Snake Eyes,"['Horribly filmed action ruined this movie', 'A fantastic cast completely wasted on a stupid story', 'Why??', 'Am I supposed to root for Snake Eyes?', 'Lost the plot.', 'Atrocious editing ruined the action sequences. The locations are top notch though.', 'Throwing things at a wall bad', ""If that's an origins film, then the origin is missing."", 'Shoddy Film - Bad Casting - Disrespects Source Material', 'None Of This Makes Sense', 'A complete let down', 'Not a good origin story', 'the plague of shaky cam', 'G.I. No', 'Except for a pair of dice and a random ""G.I. Joe"" label, this is an assembly of every cliche, sloppily presented.', 'This was not one for the records...', 'slow, no depth, no Snake Eyes', 'almost o.k.', 'Obnoxiously bad and shallow', ""Didn't enjoy a single second"", 'Andrew Koji Steals the Show', 'The film is not about anything.', '😂😂😂😂😂😂', 'G.I origins', 'A boring action film with no personality']"
Into the Blue,"['Visually stunning in every respect', 'Suspenseful, thrilling and well-paced underwater adventure about a divers who locate a a shipwrecked treasure and drug', ""Now that's what I call marine biology!"", 'Well-paced fun', 'Good for what it is...', 'Great Visuals, Weak Script', 'call me crazy', ""One man's treasure may belong to someone else."", 'Jessica Alba saves the movie for disaster', 'Awesome John Stockwell film focusing on tension around interested marine biologists', 'Surprisingly good', 'Into the Gutter.', 'Overall, not a bad film at all! Worth a watch!', 'The Big Bounce Three Deep Blue Crushes After the Sunset', 'Predicable But Entertaining Adventure', ""Don't expect Shakespeare, but take your sunglasses"", 'Pure Freaging Paradise with So Freaging Hot Completely Beautiful Jessica Alba (in a freaging hot bikini!!!)', ""'Into the Blue' manages to create an exciting Caribbean vibe and stretch it into a popcorn thriller that works"", 'Beautiful Scenery, Moderate Adventure', ""I'm filled with a vision of the ocean."", 'Actually quite enjoyable and slick nonsense full of beautiful people', 'Austin Movie Show review', 'Why This is a Very Good Movie', 'The movie that makes me a pirate of the Caribbean ; )', 'Into The Blue: Treasure has it price.']"
Roadkill,"['Hot Chicks, Fast Cars & Violence', 'Objective review', ""Don't be fooled by high scorings this film sucks!"", 'A nice car...', 'Fresh roadkill?', 'A valiant effort at least...', 'I have seen more interesting Roadkill', 'Very Good Intense, thriller with a independent low budget on sprinkles. Better than NIGHT SWIM for sure', '[3.1] SS tripped', 'Excellent American low budget thriller', ""Keanu's stunt double! LOL"", 'ONE OF THE WORSTS', 'Riveting', 'Awesome twist and turns!', 'Unexpected plot twists and ending', 'Suspenseful on the edge of your seat on ever turn', 'Twists and turns all around']"
Taken 3,"['Taken', ""A shockingly disappointing finale, 'Taken 3' is a disgrace to its star Liam Neeson and an appalling display of ineptness by its director Olivier Megaton"", 'Awful Camera, Edition and Direction and Senseless Plot', 'Mistaken', '""Don\'t Be Such A Pessimist"" (Cool Dialog)', '""It ends here"" is good advice', 'Good thing the series ended here', 'Very thrilling and violent picture with a sensational Liam Neeson as relentless avenger father', 'I got dizzy watching this movie', 'This is not Taken 3, this is Parkinson 3!!!', 'So terrible it was actually funny', 'If you loved the first one, you may not think much of this one', 'Disappointing and unrealistic sequel', 'Excellent!', 'Not a bad end to a fun trilogy', 'slow in parts, entertaining overall', ""Don't expect the trail of bodies from the previous movies"", 'Neeson continues his dynamic as stealthy avenger Bryan Mills', 'A satisfying end to a thrilling franchise.', 'At last the last chapter', 'Actually worse than Taken 2.', 'Even Liam Neeson could not save this one....', 'The Third Time Is The Charm!!!', 'A Bond-like action thriller', 'Good Thriller !']"
Hitman: Agent 47,"['This is not a hitman movie', 'Unfortunately, only an action movie', 'Agent 47', 'It has nothing to do with Agent 47', 'Hits the mark', 'I liked it for what it was', ""Loud, dumb but executed with enough flair and momentum not to bore, this 'Hitman' reboot is a passable diversion"", 'You should watch the other one, seriously', 'An explosive action movie from start to end...', 'panache and elan', ""Not really worth a rental, but it wouldn't be a awful rental"", 'Makes the 2007 Hit-man film look like a masterpiece!', 'I liked it!!', 'Fantastic From Fade-In to Fade-Out!!!', 'Ridiculous', 'Not that bad', ""I have not played the game. I still didn't like the movie."", 'Underneath the disguise of flashy cinematic and noise effects, Hit-man: Agent 47 is sadly, still a misfire of corny script and abysmal plot.', 'Complete garbage', 'Style over substance...', 'Mindless Action/Little Plot', 'A Better Attempt But Not Quite There', 'They just made it up as they went along !', 'tgchan says NO~!!! / www.tgchan.pl', 'Go see it for yourself you might be surprise']"
