Title,User Reviews
Mechanic: Resurrection,"['Go with the flow', 'Seen it all before', 'Plenty of Action! Good Photography!', 'Nail-biting thriller and un-stopped action with Jason Statham as a hot-headed and top hit-man', ""It's dumb, but fun"", 'Empty Entertainment...Fun in the Sun...The Lack of Creativity is Breathtaking', 'Worse Jason film ever, and I like most of his previous films', 'Suspending disbelief is one thing. That was just insulting', 'AS EXPECTED', 'It is a boring and non logical film', 'Much better than I was expecting', 'Very predictable', ""Bad Action , story doesn't make sense."", ""Come-on People it's a Statham movie!"", ""This word seems to lose it's meaning, but ill say it again: Fun"", 'Fun action sequel with Jason Statham', 'Silly, boring, chaotic.', '""The Mechanic Resurrection"" Brainless Entertainment', 'Statham Shooting & Beating People Up Again? Count Me In !', 'Because it has Statham, Alba & Michelle Yeoh', 'Mechanic: uninspired', 'Great for Statham movie lovers', 'Almost as good as the 2011 movie...', 'An awful movie with terrible acting and lousy CGI effects', 'Nothing New but Some Spectacular Explosions']"
Johnny & Clyde,"['Stay away from this garbage at all cost!!!', 'Absolute Trash', 'The Worst Movie Ever', 'Unwatchable nonsense.', 'Cryptic nothingness, emptiness personified, empty as a vacant room and I just lost all the little repect I still had for Megan Fox!', 'If Ratings Could have Negative Numbers...', 'What happened to Megan Fox?', 'Save yourself time', ""Couldn't get through it!"", 'Both offensively and objectively awful and OMG the acting.', 'Bad copy', ""Don't. Just don't..."", 'Return to Rhode Island', 'Sorry Megan', 'Still better than La La Land!', 'this movie is good to kill the time!', 'Maegan Fox, I love you', 'good to see Megan fox!', 'Felt like nostalgia']"
Kate,"['When Life Hands You Boom Boom Lemons', 'Fun movie despite predictable plot', ""You've seen it before just not in this combo"", 'Everything new is old again', 'Fooled again by number 1 on Netflix.', 'Mary Elizabeth Winstead comes that little bit closer to a favourite', ""Put 'DOA', 'John Wick', 'Nikita' and 'Crank' in a blender and you get 'Kate'"", 'Average at best', 'Wanted: Capable Writers', 'Big dumb fun...', 'Another unorginal NETFLIX Original', 'Familiar Assassin / Revenge Movie, but Works!', 'Killer Kate', 'Phenomenal fight choreography and cinematography!', ""It's a lot of fun watching her work"", 'Predictable, derivative, uninspired', ""This week's female assassin"", 'By the Numbers Netflix Movie', 'My review got deleted... Why? Was it because I said this was bad?!', 'Surprisingly great action adventure.', 'Now this was rather entertaining...', 'Blast...', 'Another generic hitman story with bad action.', '4 Stars goes to Tokyo', 'Good fast paced action movie.']"
Lou,"['A gritty well-made action thriller with a solid lead performance by Allison Janney in the lead', 'Successful survival film with its own identity', ""Dark, effective, taut, gritty psycho thriller - crackin' entertainment"", 'Intriguing beginning but quickly drops in quality', ""A solid enough 'chase through the woods' thriller"", 'Solid entertainment', 'The world is not a playground', 'Jason Bournes older sister', 'Great performances. Good characters. Decent writing', 'Janney steals the show.', 'Entertaining thriller', 'Decent action flick with a great lead!', 'Well-acted but absurd plot', ""The Rain Wasn't Left in Africa..."", 'We loved it.', 'Not too bad', 'Amazing heroine', 'Not exactly original, but still a solid watch', 'Had problems.', 'Lou is what every grandma should be!', 'Edge of your seat thriller', 'Worth watching', 'I was pleasantly surprised', 'Lost its potential midway', 'Well made movie, with decent acting performances, but let down by some implausible characters and plot turns']"
R.I.P.D.,"['Not nearly as bad as a lot of people like to say it is.', 'Not even close to as bad as the reviews made it seem, watch it & make up your own mind. Funny & entertaining. I liked it. I say B.', 'An effective spoof of the Men-In-Black genre.', 'Good summer entertainment', 'Way Underappreciated Popcorn Flick', 'Somewhat Generic and predictable, but I still enjoyed it.', 'Predictable? Yes. Fun? Yes!', 'Exactly what I expected', 'Starts well but gets boring', 'RIPD review', 'N.O.P.E.', 'Silly but Entertaining M.I.B. and Blade Runner Rip-off', 'Far better than the critics claim', 'What did you expect?!', 'Not funny and not exciting - no wonder it flopped', 'A Good Mix of Previous Material along with its own originality', 'Goofy, but fun!', 'DOA: Woeful mashup of MEN IN BLACK meets GHOST BUSTERS attempt at a new sci-fi/comedy franchise; Truly one of the worst films of the year.', ""It's a really stupid movie that forgets to add fun or thrills"", 'About As Fun As Pouring Acid on Yourself', ""Ryan Reynolds and Jeff Bridges Definitely Don't Make a Team as Will Smith and Tommy Lee Jones,But I Found This Movie Very Fun and Enjoyable,"", 'Lame Men in Black rip-off with some of the sloppiest scripting ever', 'The ""M.I.B."" we never asked for.', 'Good Idea But Bad Execution', 'A well deserved box office failure.']"
Last Seen Alive,"['Straight forward plot, but still an enjoyable movie...', 'Low-Budget Butler?', 'An unexceptional but taut & engaging enough thriller - that delivers what it sets out to (but no more)', 'Been done before and been done better', 'Basic but effective thriller', 'She needed a break, and she gets a break.', 'A Day in the Life of...', ""Wasn't so bad"", 'Last Seen Alive', 'Good tension building towards the end, worth a watch.', 'Wow, talk about low quality writing!!!', 'Entertaining thriller', 'Decent film for a quiet night', 'Awful', 'Fast-Paced Action & Slick Screenplay', 'Too poor copy of Kurt Russel\'s movie ""Breakdown""', 'entertaining mystery thriller that remains somewhat predictable thanks to the lesser writing.', 'Not that great', ""Yes, we've seen this before, but it was still edge of your seat suspense and anxiety."", 'Meh, meh, meh', 'Gerard Butler must have owed someone a favor', 'MISSING! (Last Seen Alive)', 'Incoherent and ridiculous', 'The kind of movie that sleepily lumbers through a stock premise and disguises its competent lack of effort with a reliable leading man', 'Horrible writing']"
Chip 'n Dale: Rescue Rangers,"['Impressive that it even exists', 'A Terrific and Hilarious Spiritual Successor to Roger Rabbit- shame on Disney for not putting this one in theaters', 'Oh Man! this was soooooo Hilarious!!!', 'Funny Nostalgic Adventure', ""Chip 'n Dale: Rescue Rangers"", 'Multi-Refencial-Meta-Fan-Service with Love', 'Rescue Rangers Comeback Good Example of How Meta Should Be Done', 'This movie is a fan service experiment for future films', ""I think it's me"", 'Disastrous Revival of the Famed Disney Chipmunk Duo', 'the voices are just not right for the roles', 'Not Roger Rabbit.', ""It's nuts how bad this movie is"", ""Disney is desperate to pander towards the meta-commentary and pop reference crowd but they still can't stop being full of themselves"", 'Surprisingly entertaining', 'Into the Uncanny Valley', 'With a solid cast, strong visuals, and a creative adventure, the movie delivers on all fronts.', 'A nostalgic meta dumpster fire cash grab from Disney', 'Mediocre plot - overcompensated by nostalgia', 'I hyperventilated while watching', 'catastrophe', 'Just awful', 'What an absolutely bizarre age of movies this is', 'Wonderful detective action comedy for adults who loved cartoons', 'Taking the Mickey out of Disney']"
Nerve,"['Good concept poor film', 'Starts off okay, but quickly turns into a huge mess', 'fun until ending', 'Surprisingly Solid movie with a good message', 'Learning to hold your nerve', 'good enough for a high school movie', 'At last, a summer film with some originality', 'feels like a kids film', 'Wow, was this movie bad.', 'I was entertained, but....', ""Good mindless entertainment if you're trying to kill a few hours."", 'Nothing more than a rip-off', ""Completely blew me away - the most fun I've had at the theatre so far this year"", 'Are you ready for your first dare?', 'Vine and Pokemon Go had a baby (and the Kardashians are the Godparents', ""Saw the trailer? There's no need to watch the movie then."", 'Watered down version of ""13 Sins""', 'Senseless', 'A good one time film!', 'Nerve: Good Concept, Poor Execution', 'Teen flick', ""It's all about now in neon,"", 'Lotta Nerve', 'Good idea, awful execution', 'This movie... Not a single boring second']"
Speed 2: Cruise Control,"['This is all you get when you spend $120,000,000 to make a film?!', 'Speed 2: Snooze control', ""You'll know why Keanu turned down this crummy sequel when you see it"", 'Made worse by the knowledge of the brilliant film it succeeds', 'slower, poorer...', 'Everyone to the lifeboats! Women, children and paying moviegoers first.', 'A Mutilation of a Franchise', 'Speed 2 Lost Control', 'A MISERABLE EXPERIENCE....', 'Not a bad movie.', 'Speed 2: Snooze Control', ""Episodic sequel lacking the original's thematic strength"", 'Speed 2: Cruise Control', 'I rather have Sandra Bullock by herself', 'A big boat full of crap', 'A disaster', 'Pitiful', 'Not As Bad As Some Reviews', 'One of the worst sequels.', 'Need Sequel Control...', 'Just bad, pretty much any way you look at it', ""Seasick? You're Not The Only One!"", 'Another one of those sequels', 'A film as good as being trapped on a sinking ship', 'I just bought a condo here.....']"
The Shawshank Redemption,"[""Some birds aren't meant to be caged."", 'An incredible movie. One that lives with you.', ""Don't Rent Shawshank."", 'This is How Movies Should Be Made', 'A classic piece of unforgettable film-making.', 'the shawshank redemption', 'The Shawshank Redemption', ""Stephen King's best adapted movie"", 'Eternal Hope', 'Enthralling, fantastic, intriguing, truly remarkable!', 'IMDb and the Greatest Film of All Time', 'All-time prison film classic', 'My favorite movie of all time.', '""I\'m a convicted murderer who provides sound financial planning"".', 'Simply the best', 'Simply known as ""The Movie""', '""I Had To Go To Prison To Learn To Be A Crook""', ""Simply amazing. The best film of the 90's."", 'Prepare to be moved', 'Shawshank Redeems Hollywood', 'Masterpiece', 'never give up hope', 'Powerful Masterpiece', 'Hope can set you free and so can this remarkable film', 'Two movies in one']"
The Godfather,"['The Pinnacle Of Flawless Films!', ""An offer so good, I couldn't refuse"", 'One of the best of all time.', 'For Me, This Is The Definitive Film', 'The greatest movie of all time!', 'An Iconic Film', 'Another kind of ""family movie""', ""#2 on IMDb's Top 100, a multi-Oscar-winner and over 1500 reviews...what more can I say about the movie?!"", ""I'm finding it hard to describe how amazing this movie was"", ""Initially, I wasn't a fan... but then I realised"", '""The Godfather"" is pretty much flawless, and one of the greatest films ever made', ""Everything you've ever heard is true..."", 'An Epic, Masterful Look into the Underground World', 'perfect', 'The Geatest Movie Ever Made', 'Magnificent portrait of organized crime', 'The Godfather make me an offer that I cannot refuse. This movie is a masterpiece.', 'A film of great power and a milestone in the history of the cinema', ""Why didn't I enjoy this as much I should've"", 'Amazing movie', 'A Masterpiece', 'The Don And His Sons', 'Simply the best', 'The Godfather', 'The world inside the underworld!']"
The Dark Knight,"['The Dark Knight', 'The Batman of our dreams! So much more than a comic book movie', 'A Batman Of Shakesperean Proportions', 'This town deserves a better class of criminal!', ""Heath Ledger's Dark and Brilliant Swan Song"", 'Watch the IMAX version if you can', 'MASTERPIECE', 'Best superhero movie of all time', 'Surpasses ""Begins"" in every aspect!!!', 'Perfect balance between action and drama with an unforgettable villain', 'Heath Ledger', 'The Dark Knight is as good as everyone says and easily the best superhero film made', 'Christopher Nolan back at it again.', 'Heath Ledger makes this great', '""I think you and I are destined to do this forever.""', 'The dark and sinister mood of the film really sets the theme of the movie', 'Batman at his best and beyond', 'The sequel we deserved to the Batman we wanted', 'Best. Comic. Movie. EVER.', 'Mindblowing', ""Best in it's class and much more"", 'Love this movie', 'Knock, Knock...', 'Heath Ledger is a ledgend!', 'Quite possibly the best all round film ever']"
The Godfather Part II,"['Breathtaking in its scope and tragic grandeur...', ""The Greatest Sequel During the Cinema's History"", 'Terrific continuation of the ""Godfather"" series; to call it a ""sequel"" almost seems insulting...', 'The Greatest Film Ever Made', 'Best gangster dramas of all time arguably', 'A masterpiece that can never be beaten...', '""Michael, I Never Wanted This For You.""', 'One of the greatest films ever made.', 'One of the greatest sequels ever made', 'To call it a sequel is a travesty', '""The Godfather Part II is the greatest sequel ever made, one of the greatest films of all time and possibly finer than its superb predecessor *****""', 'One of the greatest movies ever made.', 'Poor Fredo! We still miss John Cazale!', 'I prefer the first film, but this compares well', 'An Insult To Call It A Sequel', 'Better Than The Original? Maybe. Unbelievable Ride? HELL YEAH!!', 'A Masterpiece', 'Excellent, but could be in the dictionary under ""sprawl""', 'My review of this film is pretty unimportant.', 'A Hollywood Masterpiece!!!!', 'Good, but not as good as the first', 'The Godfather Part 2', ""It doesn't hold a candle to the original but yet is one of the finest sequels of all time."", 'One of the best sequels ever made', 'One of the best sequels ever made']"
12 Angry Men,"['The over-used term ""classic movie"" really comes into its own here!', 'One of the great theatrical examples of what makes for superb drama.', 'Juror #4 is why this is a great film', 'No Dissonance', 'What a Character-Study Is Meant to Be.', 'Dont judge by the age!', 'Brilliant, brilliant, brilliant!!', 'Terrific drama with some of the greatest actors in cinematic history', 'Excellent', 'Simple but great.', ""Should be in everyone's top ten list of greatest films of ALL TIME....."", 'An absolute must for anyone who considers themselves a film buff', 'No bombs, no car chases but edge of the seat stuff none the less', '2 thumbs up!', 'If you only ever see one Black and White movie, make this it.', 'Gripping and Irresistable', 'Flawless', 'Classic in every sense and moment and frame', ""Pardon me, but don't you ever sweat?"", 'I find this movie guilty of being a masterpiece.', '""You can\'t send someone off to die with evidence like that"".', 'The only version to see.', 'The material is slightly forced for dramatic purposes but the delivery is perfect across the board', 'Masterpiece!', 'Good script, great dialogs and a set of actors who would be the envy of the world']"
Schindler's List,"['A three hour film that feels too short', 'Awesome', 'One of the best movies ever made.', 'Bring me the heads of Hitler, Himmler, Eichmann n Mengele.', 'Whoever saves one life, saves the world entirely. ⭐', ""You don't have to be Jewish to be touched by this response to inhumanity."", ""Spielberg's most important work"", 'A SINGULAR ACHIEVEMENT', 'The most shattering film of all time.', 'What he hell is wrong with the people that commented on the 1st 4 pages of reviews???', ""Stunning; Spielberg's Greatest. Top 💯 All Time Best Films"", ""It's About Our Humanity"", ""Incredibly moving and visually disturbing, Spielburg's best by far!"", '""The list is an absolute good, the list is life...""', 'Profound Beauty! If you appreciate art, this is a masterpiece.', 'Devastating', 'Color Choice = Genius', 'Spielberg at his best', 'Based on a true story', 'Best Movie of all Time', 'Eye opening', 'the best of the Spielberg I watched', 'Amazing!', 'Emotional Release', 'The worrying amount of 1/10s is why we still need this film and holocaust movies in general']"
The Lord of the Rings: The Return of the King,"['The best trilogy in the history of cinema', 'All Good Things come to an End!', 'Still the greatest movie ever made', 'Nothing better', 'Pretty much outstanding', 'Great', 'Unprecedented.', 'They saved the best for last', 'I lived to see them all!', 'The Supreme Motion Picture of All Time...', 'The first great cinematic masterpiece of the twenty-first century.', 'Perfect way to finish the trilogy', 'I doubt there will ever be a film made of this quality again.', ""Part 3: It's Not Really the Thought that Counts"", 'A monumental film', 'My objective and unhyped view? Stunning. Simply stunning.', 'Brilliant. Simply brilliant', 'Summary: Film and extended DVD versions', 'A fantastic conclusion to a great trilogy', '""Put aside the Ranger, become who you were born to be.""', 'The greatest epic ever made', 'The Journey Ends with a Unique Movie.', 'In many ways grander in scale than the first two installments of the trilogy.', 'Awe-evoking.', 'BEST TRILOGY EVER']"
Pulp Fiction,"['Shotguns', 'The masterpiece without a message', 'A masterpiece of screenwriting', 'The rebirth of a genre – and film history', 'The most rewatchable movie of all time', 'Always has been, and always will be a personal favourite', 'One of the Funniest Movies Ever', ""It's Wild, It's Chaotic, It's Pulp Fiction!!!"", 'My Favourite Movie', 'Not overrated at all', 'Pulp Fiction', ""One of the Best Film's I've Seen In A LONG Time... and still is"", 'A Bit Over Rated But Good', ""I didn't get it"", 'Fun cult film, tad overrated', 'Ah, so by that rationale, if a pig had a better personality, he would cease to be a filthy animal. Is that true?', 'Brilliantly constructed.', 'Unbelievable.', ""Tarantino's Mad, Mad, Mad, Mad World !!!"", 'Perfect Movie', 'One of the best movies of the century!', 'Iconic.', 'Deserves all the praise it has gotten over the years', 'Awesome!', 'Lightning in a Bottle']"
The Lord of the Rings: The Fellowship of the Ring,"['First, And Still The Best Of LOTR', 'The Fellowship of the Ring: Not just a Movie, but the Door to another Dimension', 'Thank you Mr Jackson', 'Great', 'How the hell did they film this thing', 'Near perfect adaptation of a fantasy benchmark', 'An absolutely incredible film!', 'Masterpiece', '""Remember what Bilbo used to say, it\'s dangerous business Frodo, going out the door.""', 'An amazing beginning of the trilogy. An amazing end of the movie.', 'The Fantasy Motion Picture to Rule Them All...', 'Part One: With Help, Even the Impossible Can Be Achieved', 'Absolute game changer', 'Wow!', 'One of the best films ever made.', 'From the beginning...', 'Embrace the magic', 'One ring and three movies to rule them all.', 'We May Have Forgotten Just How Good This Is', 'RPG Game: The Movie', 'A Masterpiece', ""I Don't Know if They Could Do It Much Better"", 'Unbelievably Good That Stands The Test Of Time', 'Excellent', 'A truly exceptional film']"
"The Good, the Bad and the Ugly","[""For a girl who doesn't enjoy westerns much, this was one of the greatest films ever!"", 'Brutal, brilliant, and one of the best Westerns ever made', ""Sergio Leone's penultimate Italian-western; a film that gets better with each passing year..."", '""There are two kinds of people in this world, my friend""', 'The Good, the Better, the Best', 'the greatest of the great!', 'A Cinematic Masterpiece - And Also The Most Entertaining Western Of All Time', 'The best Western ever made', 'The King of Cool', 'Made me love Western. Brilliant! ⭐', 'Primal honesty and morality', 'What got Quentin Tarantino so damn excited...', 'film making of the highest order', ""Sergio Leone's most visionary film..."", 'The good, the better, the best.', ""Westerns don't get any better than this."", '""When you have to shoot, shoot, don\'t talk.""', 'Sergio Leone was a highly personal filmmaker!', 'Several Fistfuls of Cadavers...', 'The best cinematic meditation on greed since ""Treasure of the Sierra Madre""...', 'Roy Rogers meets the Vatican meets Kurosawa', 'Classic', 'The world is not black and white', 'Among the finest Westerns, though not for all tastes']"
Forrest Gump,"[""Let's see the world through the eyes of Forrest Gump"", 'Pure Charm', 'In my opinion, no film has touched me more than this one.....', 'Dropping My Keys', 'The role of innocence in positive thinking and thus success ...', 'A beautiful fable for now and the future', 'a box of chocolate', ""Thirty years on, and it's still as wonderful."", ""Forrest Gump is a movie masterpiece that won't be forgotten and will continue to inspire"", 'Purity and innocence retained', 'Contemporary classic: one of my all-time faves', 'Encapsulating...', 'Tom Hanks delivers an astounding performance as Forrest Gump.', 'Beautiful film', 'Mama said ...', 'Quite possibly the best movie ever made.', 'The Hand Of An Unseen Providence', ""One of the best films of the 90's"", ""Life is like a box of chocolates. You never truly know what you're gonna get. Forrest Gump is amazing!"", 'why such a low rating???', 'The zen of Forrest Gump.', ""Life's Lessons in one Movie..."", 'After 20 years, I still love Forrest Gump!', '""I just felt like running"".', 'You need to watch it again and again.']"
Fight Club,"['A great movie you can watch again and again', 'Superb', 'Crazy, Cult, Plot Twist, Awesome = Fight Club', ""Fincher's tour de force is a bruising assault on the senses"", 'Delightful Romantic comedy', 'Welcome to movie heaven!', ""It's one of the best."", 'We should actually talk about the Fight Club', 'Crazy good', 'An unpredictable movie.', 'This is why we watch movies.', 'You love it or you hate it, personally I loved it', 'The things you own end up owning you.', 'Go in completely blind', ""HOW THIS IS NOT EVERYONE'S FAVORITE MOVIE IS BESIDE ME"", ""It's Hard to Take Your Eyes Away"", 'Watch it atleast twice', 'I study philosophy but this film took me for a ride', 'Not about fighting', 'a dangerously brilliant film that entertains as well as enlightens.', 'My first review about my favorite movie...', 'This is a very important movie.', 'Life-changing Fight Club', 'A unique film', 'The first rule of Fight Club: You never talk about how over-hyped Fight Club is']"
The Lord of the Rings: The Two Towers,"['An Epic in every sense of the word.', '""There\'s some good in this world Mr. Frodo, and it\'s worth fighting for.""', 'Great movie', 'Absolutely, totally fantastic!', 'They Accomplished the Near-Impossible.', 'Sophomore effort shines as brightly as the first.', 'A magical film.', 'My personal favourite of the trilogy', 'A standing ovation for all concerned.', 'One of The Best battle sequence.', ""Helm's Deep could be the greatest battle sequence of all time."", 'My precious...', 'My Visit To The Cinema', 'A True Fantasy Movie', 'Magnificent epic', 'Jackson remains a genius, and this series remains a masterpiece--Faithful enough to Tolkein, and a fantastic movie!', 'Hail The Heroes!', 'Fantasy greatness with one of the best sieges put on film', 'The Two Towers! What Is It? The Answer Is: My Precious!', 'Tough to put on film but came out very well', 'The Sequel That Dwarfs Its Predecessor...', 'The battle for Middle Earth is about to begin...', 'The Greatest of the Three Rings', ""FilmCreature Reviews 'The Lord of the Rings: The Two Towers'"", 'If there was a spotlight for all time movie reviews it would be this trilogy-to-be-one film']"
Inception,"['A one-of-a-kind mind-blowing masterpiece!', 'Is it possible the makers understand how incredible this film is?', 'Inception was only less shocking to me than the Matrix', 'Answering all the questions with one answer: I feel guilt. ⭐', 'Insanely Brilliant ! Nolan has outdone himself !!', 'Generation defining.', 'In a Decade, ""Inception"" May Be A Religion', 'Mindcraft...', 'My number one favorite movie', 'Wait', 'Amazingly original...but also a bit overwhelming.', 'Sci-fi perfection. A truly mesmerizing film.', ""Didn't win Best Picture? WHAT?"", 'This is your first lesson in shared dreaming. Stay calm.', 'Matrix but in dreamworld? Nah.', 'Incredible-Nolan keeps improving and Inception is by far the best improvement!', 'Nolan at his most intelligent best.', 'The perfect summer blockbuster?', 'Come Back Again!', 'All right.....', ""A Potpourri of Vestiges Review: Buñuel meets Kubrick in Nolan's most ambitious venture, till date"", ""Inception; Christopher Nolan's masterpiece?"", 'So much less intelligent than it seems', 'Good idea lost in the noise', 'Inception? More Like Insipid']"
Star Wars: Episode V - The Empire Strikes Back,"['All the fun of the original with a much better, darker plot', 'Excellent timeless classic, the best sequel of all time!', 'I enjoy this one more than A New Hope', 'One for All & All for One...', 'A worthy second (or 5th??) Star Wars installment, might be the best of the bunch.', 'One of the best films ever made.', 'Best Star Wars FILM', ""It's NOT the darkest of the trilogy - it's the most mature"", ""Even though he wasn't at the director's helm this time, George Lucas has done it again."", ""finest of the trilogy because Lucas didn't write the script"", 'Manages to be even better than New Hope, and that was just as brilliant', 'The best ""Star Wars"" film ever made.', 'This is among the all time great science fiction movies that is an absolute must see', 'Fantastic Sequel', 'The best movie of all Star wars', 'Darker and better than ""New hope""', 'The best film in the original trilogy.', 'Outstanding follow up.', '""It is your destiny""', 'Star Wars: Episode V - The Empire Strikes Back', ""Why can't they make them like this any more?"", 'Greatest Movie Ever', 'One of the best movies of all!', 'Masterpiece', 'Star Wars Episode 5 Empire Strike Back']"
The Matrix,"['Just wow', 'Ah yes. My first existential crisis.', 'Benchmark forever.', 'The timeless classic.', ""Agent Smith: Human beings are a disease, a cancer of this planet. You're a plague and we are the cure."", 'A watershed moment in film-making – and what a kick-ass masterpiece', 'One of the best action sci fi action movies of all time!', 'a masterpiece', 'Immensely entertaining, intriguingly philosophical and just about one of the best films ever made!', 'The Matrix Is one of the best Classic Sci-Fi Action Film ever', 'A sci-fi action thriller milestone', 'One of my favorites', 'So well written that makes you questioning the reality. ⭐', ""20 years on from release, some random thoughts on revisiting The Matrix. Spoiler: It's still brilliant."", 'Still hip as heck even after 20 years', 'Exhilarating 4DX profound experience!', '...it is not the spoon that bends, it is only yourself.', 'at last, something I can recommend', 'The world of computers', 'Welcome to the Real World.', 'Matrix - one of the greatest ever - in same league as The Shawshank Redemption & Interstellar', 'What is the Matrix? Well, one of the best films ever, for one thing...', 'The benchmark for all sci-fi films to come', 'Wow! I Finally Saw It!', 'Almost my favorite movie ever! The metaphors/quotes should be more known!']"
Goodfellas,"['In one word: perfection', ""An Offer You Can't Refuse..."", 'The best mobster film ever made', 'A great director at the peak of his talents', 'One word: priceless', 'The greatest mob film still today', 'The Definitive Film of the 1990s', 'The Criminal Mindset', ""Simply a masterpiece. Scorsese's last truly great movie (to date)."", 'The Mob...Revealed', ""Martin Scorsese's masterpiece."", 'A classic. Durp.', 'Aged like a fine wine', 'Slightly disappointed but still very good', 'Iconic', ""Scorsese's best"", ""As good as those fellas are...I just don't get it"", 'Instant classic', 'A classic mobster film.', 'Classic modern day gangster film', ""Scorsese's masterpiece stands the test of time"", 'Italian Storytelling', 'Rightfully hailed as one of the greatest gangster epics of all time', 'A Masterpiece That Gets Better With Each New Viewing', 'Slick, flashy, often brilliant, yet cannot make you give a hoot about its characters']"
One Flew Over the Cuckoo's Nest,"['The spirit of freedom vs. the spirit of legal-ism', 'Both uplifting and disheartening, sometimes both at once', 'Touching and moving, a great cinematic experience', '""What an excellent movie"" is all that went through my mind after seeing this masterpiece', 'A masterpiece', ""Poetic - Powerful - Simple: The Greatness of Cuckoo's Nest."", 'Jack Nicholson at his finest', 'Jack Nicholson Finally Wins the Oscar', 'Best film of its era', 'One of the greatest of all time.', 'A great order vs. chaos tale that everyone can relate to', 'A perfect mixture of entertainment and drama.', 'You have to be crazy to hate this movie! This movie is a masterpiece', 'Extraordinary', ""It's not that easy"", 'The Ultimate Backfire', 'One Flew Over One of the Best Movies Ever Made!!! (And that person was me)', 'Cool Hand Jack', 'One of the Greatest Ever Made', 'Get Mad If You Want To! This Is Very Realistic!', 'One of the Last Anti-Establishment Films of the 1970s', 'Storytelling that Imprisons', 'Now I know why they closed?', 'A wonderful film', ""I'm not stuck in here with you, you're stuck in here with me!""]"
Se7en,"[""Very grim and disturbing but you can't stop watching"", 'A brilliant postmodern film noir that is grim, intelligent and disturbing', 'Still manages to astound after 20 years of repeat viewings', 'Dark and disturbing thriller that will stay with you for ever.', ""He's experienced about as much pain and suffering as anyone I've encountered, give or take, and he still has Hell to look forward to."", 'An out and out classic.', 'Probably the greatest murder story ever', 'A dark and disturbing masterpiece.', 'one of the best-made films of its era and genre', 'Top Serial Killer Movie', 'Modern Masterpiece!!', 'Stand out Thriller thanks to Fine Cast.', 'Superbly crafted drama delves into darkest corners of the psyche', ""Simply one of the darkest and best thrillers of the 1990's \x96 but don't let anyone spoil it for you....."", 'David Fincher Strikes Again, With An Unwavering Thriller That Strikes Straight To The Heart', ""Se7en gruesome chapters of a killer's manifesto..."", '20+ years later, I watched it again', 'Fincher At His Finest!', 'One Of The Greatest Thrillers Of All-Time', '""This isn\'t going to have a happy ending.""', 'beautiful darkness', 'Se7en is a Sinfully Enthralling Thriller!', 'With over 900 reviews, mine is hardly necessary : ) Blu-ray: Excellent A:10 V:10', ""Fincher's Se7en is a classic crime story which can rival the likes of Silence of the Lambs"", 'Dark, grisly, and highly intelligent edge-of-your-seat thriller']"
It's a Wonderful Life,"['""To My Big Brother George, The Richest Man In Town""', 'A Great Influence...', 'One of those quintessential Christmas movies....', 'A Wonderful Film and Timeless Classic', 'A wonderful film that should be watched again and again.', 'Best feel good movie ever? Quite possibly.', ""It's a Wonderful Life"", 'Atop my Top Ten', 'Who are you, really?', ""IT'S NOT OFFICIALLY CHRISTMAS SEASON UNTIL I WATCH THIS MOVIE"", 'One of the greatest movie ever made in cinema history!!', 'So is the movie...', '""Each man\'s life touches so many other lives"".', ""It just doesn't age"", 'Great Christmas (and all year round) movie', 'One of the Most Beautiful Movies of the Cinema History Ever', 'Enjoyable, hearty and well crafted', 'Magical.', ""Each man's life touches so many others."", ""A movie that you can't help but feel good from!"", 'Sheer brilliance!', ""FRANK CAPRA'S OPUS"", 'No man is a failure who has friends', 'A wonderful experience', 'More than ""a Christmas film""...']"
Interstellar,"['Out of this world', 'A visual and auditory marvel', 'Masterpiece', 'Possibly the best movie of all time', 'I waited 5 years to watch it again', 'Masterpiece', '7 years later', 'A journey across the galaxy to save humanity', 'Excellent Movie', 'I would rate 11/10', 'Absolutely Brilliant', 'A Sci-Fi Masterpiece', 'A Visually Monumental And Thoughtful Sci-Fi Epic', 'Greatest movie of all time', 'An Emotional, Beautiful Journey into the Unknown', 'Fascinating Film', 'A visual masterpiece.', 'Interstellar : An open-hearted & mastered Human Odyssey', 'Maybe the most spectacular movie of 2014 and one of the best', ""time travel= relativity =space equilibrium= Nolan's grand space masterpiece"", 'An amazing Drama with Sci-Fi elements.', 'Best movie I have seen in my life', 'Going brilliantly (but very LOUDLY) into the dark', ""Glad i didn't watch the trailer"", ""I've never seen a movie so good in a long time""]"
Seven Samurai,"['Solid Gold', 'Story-Telling At Its Finest', ""Kurosawa's triumphant epic- totally & successfully driven by character and story"", 'Memorable characters and one of the best action movies of all times', 'Arguably, the best samurai film ever made', 'Kurosawa is the greatest director that ever lived', 'Required Viewing', 'Shichinin no samurai: Simply outstanding', ""Haven't you seen it yet?"", 'A cinematic masterpiece', ""Akira Kurosawa's 'Seven Samurai': A Timeless Masterpiece of Cinema"", 'Ahead of its time.', 'Long and sometimes hard to follow.', 'Awesome', 'Complex Beauty', 'Ronin the countryside.', 'One of the Best Movies of Cinema History', 'A really great epic film, beautifully told with stunning acting', 'This film can be described in one word...Awesome!!', 'A Solid Defense of Art', ""Kurasawa's best film"", 'Brilliant composition plus brilliant acting = brilliant flawless movie!', 'One of the most influential in movie history', 'Best non-English film ever!!!', 'Iconic influential movie']"
